symbol,security,esgScores
J,Jacobs Solutions,"{'maxAge': 86400, 'totalEsg': {'raw': 22.37, 'fmt': '22.4'}, 'environmentScore': {'raw': 5.29, 'fmt': '5.3'}, 'socialScore': {'raw': 11.46, 'fmt': '11.5'}, 'governanceScore': {'raw': 5.62, 'fmt': '5.6'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 3.0, 'peerCount': 24, 'esgPerformance': 'AVG_PERF', 'peerGroup': 'Construction & Engineering', 'relatedControversy': ['Employee Incidents', 'Customer Incidents'], 'peerEsgScorePerformance': {'min': 22.37, 'avg': 33.84250000000001, 'max': 51.7}, 'peerGovernancePerformance': {'min': 5.62, 'avg': 11.03857142857143, 'max': 16.71}, 'peerSocialPerformance': {'min': 10.79, 'avg': 14.499523809523808, 'max': 21.49}, 'peerEnvironmentPerformance': {'min': 4.6, 'avg': 7.829047619047618, 'max': 16.68}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 2.25, 'max': 5.0}, 'percentile': {'raw': 33.64, 'fmt': '34'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': True, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': True, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
JNJ,Johnson & Johnson,"{'maxAge': 86400, 'totalEsg': {'raw': 25.08, 'fmt': '25.1'}, 'environmentScore': {'raw': 0.74, 'fmt': '0.7'}, 'socialScore': {'raw': 15.79, 'fmt': '15.8'}, 'governanceScore': {'raw': 8.55, 'fmt': '8.6'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 4.0, 'peerCount': 82, 'esgPerformance': 'AVG_PERF', 'peerGroup': 'Pharmaceuticals', 'relatedControversy': ['Customer Incidents'], 'peerEsgScorePerformance': {'min': 11.2, 'avg': 25.3060975609756, 'max': 39.97}, 'peerGovernancePerformance': {'min': 4.91, 'avg': 8.814197530864194, 'max': 14.33}, 'peerSocialPerformance': {'min': 3.94, 'avg': 14.299012345679007, 'max': 21.06}, 'peerEnvironmentPerformance': {'min': 0.02, 'avg': 2.033086419753087, 'max': 5.26}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.8780487804878048, 'max': 5.0}, 'percentile': {'raw': 44.38, 'fmt': '44'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': True, 'catholic': True, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
JCI,Johnson Controls,"{'maxAge': 86400, 'totalEsg': {'raw': 14.7, 'fmt': '14.7'}, 'environmentScore': {'raw': 4.89, 'fmt': '4.9'}, 'socialScore': {'raw': 4.55, 'fmt': '4.6'}, 'governanceScore': {'raw': 5.25, 'fmt': '5.3'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 3.0, 'peerCount': 15, 'esgPerformance': 'UNDER_PERF', 'peerGroup': 'Building Products', 'relatedControversy': ['Operations Incidents'], 'peerEsgScorePerformance': {'min': 13.09, 'avg': 19.555999999999997, 'max': 25.93}, 'peerGovernancePerformance': {'min': 4.92, 'avg': 6.3580000000000005, 'max': 8.79}, 'peerSocialPerformance': {'min': 2.18, 'avg': 4.129333333333333, 'max': 6.14}, 'peerEnvironmentPerformance': {'min': 4.89, 'avg': 9.066, 'max': 13.9}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.1333333333333333, 'max': 3.0}, 'percentile': {'raw': 9.52, 'fmt': '10'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
JPM,JPMorgan Chase,"{'maxAge': 86400, 'totalEsg': {'raw': 29.02, 'fmt': '29.0'}, 'environmentScore': {'raw': 1.11, 'fmt': '1.1'}, 'socialScore': {'raw': 16.18, 'fmt': '16.2'}, 'governanceScore': {'raw': 11.73, 'fmt': '11.7'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 3.0, 'peerCount': 172, 'esgPerformance': 'AVG_PERF', 'peerGroup': 'Banks', 'relatedControversy': ['Employee Incidents', 'Customer Incidents', 'Society & Community Incidents', 'Business Ethics Incidents'], 'peerEsgScorePerformance': {'min': 11.06, 'avg': 24.496744186046502, 'max': 44.12}, 'peerGovernancePerformance': {'min': 5.78, 'avg': 11.514666666666669, 'max': 19.55}, 'peerSocialPerformance': {'min': 3.82, 'avg': 10.846727272727275, 'max': 21.64}, 'peerEnvironmentPerformance': {'min': 0.14, 'avg': 1.6380606060606056, 'max': 3.5}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 2.1627906976744184, 'max': 5.0}, 'percentile': {'raw': 59.52, 'fmt': '60'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
JNPR,Juniper Networks,"{'maxAge': 86400, 'totalEsg': {'raw': 16.59, 'fmt': '16.6'}, 'environmentScore': {'raw': 1.66, 'fmt': '1.7'}, 'socialScore': {'raw': 8.52, 'fmt': '8.5'}, 'governanceScore': {'raw': 6.41, 'fmt': '6.4'}, 'ratingYear': 2023, 'ratingMonth': 1, 'highestControversy': 1.0, 'peerCount': 42, 'esgPerformance': 'UNDER_PERF', 'peerGroup': 'Technology Hardware', 'relatedControversy': ['Employee Incidents', 'Business Ethics Incidents'], 'peerEsgScorePerformance': {'min': 6.37, 'avg': 16.396190476190473, 'max': 25.68}, 'peerGovernancePerformance': {'min': 3.44, 'avg': 7.216499999999999, 'max': 10.05}, 'peerSocialPerformance': {'min': 2.24, 'avg': 6.10225, 'max': 11.4}, 'peerEnvironmentPerformance': {'min': 0.17, 'avg': 3.3959999999999995, 'max': 9.54}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.5, 'max': 4.0}, 'percentile': {'raw': 14.57, 'fmt': '15'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
K,Kellogg's,"{'maxAge': 86400, 'totalEsg': {'raw': 26.84, 'fmt': '26.8'}, 'environmentScore': {'raw': 7.4, 'fmt': '7.4'}, 'socialScore': {'raw': 14.87, 'fmt': '14.9'}, 'governanceScore': {'raw': 4.58, 'fmt': '4.6'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 2.0, 'peerCount': 88, 'esgPerformance': 'AVG_PERF', 'peerGroup': 'Food Products', 'relatedControversy': ['Environmental Supply Chain Incidents', 'Employee Incidents', 'Social Supply Chain Incidents', 'Customer Incidents', 'Society & Community Incidents'], 'peerEsgScorePerformance': {'min': 13.55, 'avg': 27.763636363636376, 'max': 48.96}, 'peerGovernancePerformance': {'min': 3.88, 'avg': 6.332840909090908, 'max': 11.73}, 'peerSocialPerformance': {'min': 4.32, 'avg': 10.916022727272722, 'max': 20.23}, 'peerEnvironmentPerformance': {'min': 3.57, 'avg': 10.513977272727272, 'max': 22.18}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 2.102272727272727, 'max': 4.0}, 'percentile': {'raw': 51.24, 'fmt': '51'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': True, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
KVUE,Kenvue,
KDP,Keurig Dr Pepper,
KEY,KeyCorp,"{'maxAge': 86400, 'totalEsg': {'raw': 23.14, 'fmt': '23.1'}, 'environmentScore': {'raw': 1.89, 'fmt': '1.9'}, 'socialScore': {'raw': 11.08, 'fmt': '11.1'}, 'governanceScore': {'raw': 10.17, 'fmt': '10.2'}, 'ratingYear': 2023, 'ratingMonth': 1, 'highestControversy': 1.0, 'peerCount': 107, 'esgPerformance': 'AVG_PERF', 'peerGroup': 'Banks', 'relatedControversy': ['Product & Service Incidents', 'Customer Incidents', 'Society & Community Incidents', 'Business Ethics Incidents'], 'peerEsgScorePerformance': {'min': 11.06, 'avg': 23.864018691588782, 'max': 44.12}, 'peerGovernancePerformance': {'min': 5.71, 'avg': 11.464285714285719, 'max': 19.41}, 'peerSocialPerformance': {'min': 3.82, 'avg': 9.882346938775513, 'max': 21.27}, 'peerEnvironmentPerformance': {'min': 0.14, 'avg': 1.7023469387755101, 'max': 3.5}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.897196261682243, 'max': 4.0}, 'percentile': {'raw': 37.43, 'fmt': '37'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
KEYS,Keysight,"{'maxAge': 86400, 'totalEsg': {'raw': 9.31, 'fmt': '9.3'}, 'environmentScore': {'raw': 2.03, 'fmt': '2.0'}, 'socialScore': {'raw': 2.24, 'fmt': '2.2'}, 'governanceScore': {'raw': 5.04, 'fmt': '5.0'}, 'ratingYear': 2023, 'ratingMonth': 1, 'highestControversy': 1.0, 'peerCount': 42, 'esgPerformance': 'LAG_PERF', 'peerGroup': 'Technology Hardware', 'relatedControversy': ['Business Ethics Incidents'], 'peerEsgScorePerformance': {'min': 6.37, 'avg': 16.396190476190473, 'max': 25.68}, 'peerGovernancePerformance': {'min': 3.44, 'avg': 7.216499999999999, 'max': 10.05}, 'peerSocialPerformance': {'min': 2.24, 'avg': 6.10225, 'max': 11.4}, 'peerEnvironmentPerformance': {'min': 0.17, 'avg': 3.3959999999999995, 'max': 9.54}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.5, 'max': 4.0}, 'percentile': {'raw': 2.02, 'fmt': '2'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
KMB,Kimberly-Clark,"{'maxAge': 86400, 'totalEsg': {'raw': 22.05, 'fmt': '22.0'}, 'environmentScore': {'raw': 8.05, 'fmt': '8.1'}, 'socialScore': {'raw': 7.77, 'fmt': '7.8'}, 'governanceScore': {'raw': 6.23, 'fmt': '6.2'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 2.0, 'peerCount': 28, 'esgPerformance': 'AVG_PERF', 'peerGroup': 'Household Products', 'relatedControversy': ['Social Supply Chain Incidents', 'Customer Incidents'], 'peerEsgScorePerformance': {'min': 17.11, 'avg': 24.862500000000004, 'max': 35.23}, 'peerGovernancePerformance': {'min': 5.56, 'avg': 7.478214285714286, 'max': 9.97}, 'peerSocialPerformance': {'min': 4.89, 'avg': 8.957142857142857, 'max': 13.15}, 'peerEnvironmentPerformance': {'min': 4.56, 'avg': 8.428214285714287, 'max': 12.52}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.75, 'max': 3.0}, 'percentile': {'raw': 32.38, 'fmt': '32'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': True, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
KIM,Kimco Realty,"{'maxAge': 86400, 'totalEsg': {'raw': 12.14, 'fmt': '12.1'}, 'environmentScore': {'raw': 3.7, 'fmt': '3.7'}, 'socialScore': {'raw': 2.91, 'fmt': '2.9'}, 'governanceScore': {'raw': 5.53, 'fmt': '5.5'}, 'ratingYear': 2023, 'ratingMonth': 1, 'highestControversy': 0.0, 'peerCount': 94, 'esgPerformance': 'UNDER_PERF', 'peerGroup': 'Real Estate', 'peerEsgScorePerformance': {'min': 4.67, 'avg': 13.967127659574471, 'max': 29.55}, 'peerGovernancePerformance': {'min': 3.16, 'avg': 6.095164835164835, 'max': 14.37}, 'peerSocialPerformance': {'min': 0.82, 'avg': 4.183186813186812, 'max': 10.15}, 'peerEnvironmentPerformance': {'min': 0.05, 'avg': 3.6408791208791222, 'max': 8.28}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 0.574468085106383, 'max': 4.0}, 'percentile': {'raw': 4.83, 'fmt': '5'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
KMI,Kinder Morgan,"{'maxAge': 86400, 'totalEsg': {'raw': 18.55, 'fmt': '18.5'}, 'environmentScore': {'raw': 7.75, 'fmt': '7.8'}, 'socialScore': {'raw': 7.32, 'fmt': '7.3'}, 'governanceScore': {'raw': 3.48, 'fmt': '3.5'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 2.0, 'peerCount': 38, 'esgPerformance': 'UNDER_PERF', 'peerGroup': 'Refiners & Pipelines', 'relatedControversy': ['Operations Incidents', 'Society & Community Incidents'], 'peerEsgScorePerformance': {'min': 18.5, 'avg': 29.332894736842103, 'max': 49.15}, 'peerGovernancePerformance': {'min': 3.08, 'avg': 4.919428571428571, 'max': 7.29}, 'peerSocialPerformance': {'min': 4.84, 'avg': 8.42885714285714, 'max': 15.07}, 'peerEnvironmentPerformance': {'min': 7.75, 'avg': 14.472000000000003, 'max': 24.71}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.8421052631578947, 'max': 5.0}, 'percentile': {'raw': 20.69, 'fmt': '21'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
KLAC,KLA Corporation,"{'maxAge': 86400, 'totalEsg': {'raw': 16.79, 'fmt': '16.8'}, 'environmentScore': {'raw': 7.13, 'fmt': '7.1'}, 'socialScore': {'raw': 4.76, 'fmt': '4.8'}, 'governanceScore': {'raw': 4.91, 'fmt': '4.9'}, 'ratingYear': 2023, 'ratingMonth': 1, 'highestControversy': 0.0, 'peerCount': 19, 'esgPerformance': 'UNDER_PERF', 'peerGroup': 'Semiconductors', 'peerEsgScorePerformance': {'min': 13.45, 'avg': 22.03157894736842, 'max': 31.38}, 'peerGovernancePerformance': {'min': 4.64, 'avg': 6.4977777777777765, 'max': 8.45}, 'peerSocialPerformance': {'min': 3.97, 'avg': 6.637222222222222, 'max': 8.93}, 'peerEnvironmentPerformance': {'min': 3.98, 'avg': 8.378333333333336, 'max': 14.83}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 0.8421052631578947, 'max': 3.0}, 'percentile': {'raw': 15.18, 'fmt': '15'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
KHC,Kraft Heinz,"{'maxAge': 86400, 'totalEsg': {'raw': 35.3, 'fmt': '35.3'}, 'environmentScore': {'raw': 14.38, 'fmt': '14.4'}, 'socialScore': {'raw': 14.29, 'fmt': '14.3'}, 'governanceScore': {'raw': 6.63, 'fmt': '6.6'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 3.0, 'peerCount': 88, 'esgPerformance': 'OUT_PERF', 'peerGroup': 'Food Products', 'relatedControversy': ['Business Ethics Incidents'], 'peerEsgScorePerformance': {'min': 13.55, 'avg': 27.763636363636376, 'max': 48.96}, 'peerGovernancePerformance': {'min': 3.88, 'avg': 6.332840909090908, 'max': 11.73}, 'peerSocialPerformance': {'min': 4.32, 'avg': 10.916022727272722, 'max': 20.23}, 'peerEnvironmentPerformance': {'min': 3.57, 'avg': 10.513977272727272, 'max': 22.18}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 2.102272727272727, 'max': 4.0}, 'percentile': {'raw': 79.6, 'fmt': '80'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': True, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
KR,Kroger,"{'maxAge': 86400, 'totalEsg': {'raw': 21.39, 'fmt': '21.4'}, 'environmentScore': {'raw': 6.51, 'fmt': '6.5'}, 'socialScore': {'raw': 9.43, 'fmt': '9.4'}, 'governanceScore': {'raw': 5.46, 'fmt': '5.5'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 3.0, 'peerCount': 33, 'esgPerformance': 'AVG_PERF', 'peerGroup': 'Food Retailers', 'relatedControversy': ['Customer Incidents'], 'peerEsgScorePerformance': {'min': 12.06, 'avg': 21.709999999999997, 'max': 32.26}, 'peerGovernancePerformance': {'min': 3.93, 'avg': 5.8796875, 'max': 7.84}, 'peerSocialPerformance': {'min': 4.7, 'avg': 9.555937499999997, 'max': 13.92}, 'peerEnvironmentPerformance': {'min': 2.03, 'avg': 6.075937499999999, 'max': 11.39}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 2.1818181818181817, 'max': 4.0}, 'percentile': {'raw': 30.14, 'fmt': '30'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
LHX,L3Harris,
LH,LabCorp,"{'maxAge': 86400, 'totalEsg': {'raw': 18.81, 'fmt': '18.8'}, 'environmentScore': {'raw': 0.13, 'fmt': '0.1'}, 'socialScore': {'raw': 11.55, 'fmt': '11.6'}, 'governanceScore': {'raw': 7.13, 'fmt': '7.1'}, 'ratingYear': 2023, 'ratingMonth': 1, 'highestControversy': 2.0, 'peerCount': 37, 'esgPerformance': 'UNDER_PERF', 'peerGroup': 'Healthcare', 'relatedControversy': ['Employee Incidents', 'Customer Incidents'], 'peerEsgScorePerformance': {'min': 12.12, 'avg': 22.57351351351351, 'max': 34.71}, 'peerGovernancePerformance': {'min': 5.16, 'avg': 7.776944444444447, 'max': 10.63}, 'peerSocialPerformance': {'min': 5.59, 'avg': 12.131111111111114, 'max': 21.44}, 'peerEnvironmentPerformance': {'min': 0.07, 'avg': 2.641666666666666, 'max': 5.39}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.6486486486486487, 'max': 4.0}, 'percentile': {'raw': 21.65, 'fmt': '22'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': True, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
LRCX,Lam Research,"{'maxAge': 86400, 'totalEsg': {'raw': 13.45, 'fmt': '13.4'}, 'environmentScore': {'raw': 4.5, 'fmt': '4.5'}, 'socialScore': {'raw': 3.97, 'fmt': '4.0'}, 'governanceScore': {'raw': 4.98, 'fmt': '5.0'}, 'ratingYear': 2023, 'ratingMonth': 1, 'highestControversy': 1.0, 'peerCount': 19, 'esgPerformance': 'UNDER_PERF', 'peerGroup': 'Semiconductors', 'relatedControversy': ['Governance Incidents'], 'peerEsgScorePerformance': {'min': 13.45, 'avg': 22.03157894736842, 'max': 31.38}, 'peerGovernancePerformance': {'min': 4.64, 'avg': 6.4977777777777765, 'max': 8.45}, 'peerSocialPerformance': {'min': 3.97, 'avg': 6.637222222222222, 'max': 8.93}, 'peerEnvironmentPerformance': {'min': 3.98, 'avg': 8.378333333333336, 'max': 14.83}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 0.8421052631578947, 'max': 3.0}, 'percentile': {'raw': 7.12, 'fmt': '7'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
LW,Lamb Weston,
LVS,Las Vegas Sands,"{'maxAge': 86400, 'totalEsg': {'raw': 17.69, 'fmt': '17.7'}, 'environmentScore': {'raw': 1.28, 'fmt': '1.3'}, 'socialScore': {'raw': 7.76, 'fmt': '7.8'}, 'governanceScore': {'raw': 8.65, 'fmt': '8.6'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 2.0, 'peerCount': 44, 'esgPerformance': 'UNDER_PERF', 'peerGroup': 'Consumer Services', 'relatedControversy': ['Customer Incidents', 'Business Ethics Incidents'], 'peerEsgScorePerformance': {'min': 13.3, 'avg': 22.78954545454545, 'max': 31.02}, 'peerGovernancePerformance': {'min': 3.09, 'avg': 6.590975609756098, 'max': 13.5}, 'peerSocialPerformance': {'min': 6.55, 'avg': 10.78756097560976, 'max': 16.68}, 'peerEnvironmentPerformance': {'min': 0.15, 'avg': 5.711219512195122, 'max': 13.59}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 2.0681818181818183, 'max': 4.0}, 'percentile': {'raw': 17.83, 'fmt': '18'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': True, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
LDOS,Leidos,"{'maxAge': 86400, 'totalEsg': {'raw': 11.67, 'fmt': '11.7'}, 'environmentScore': {'raw': 1.29, 'fmt': '1.3'}, 'socialScore': {'raw': 4.99, 'fmt': '5.0'}, 'governanceScore': {'raw': 5.39, 'fmt': '5.4'}, 'ratingYear': 2023, 'ratingMonth': 1, 'highestControversy': 2.0, 'peerCount': 76, 'esgPerformance': 'UNDER_PERF', 'peerGroup': 'Software & Services', 'relatedControversy': ['Business Ethics Incidents'], 'peerEsgScorePerformance': {'min': 9.98, 'avg': 18.43026315789474, 'max': 49.81}, 'peerGovernancePerformance': {'min': 3.73, 'avg': 6.773243243243243, 'max': 34.36}, 'peerSocialPerformance': {'min': 4.98, 'avg': 9.715270270270274, 'max': 15.2}, 'peerEnvironmentPerformance': {'min': 0.01, 'avg': 1.9593243243243244, 'max': 5.45}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.1842105263157894, 'max': 5.0}, 'percentile': {'raw': 4.22, 'fmt': '4'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': True, 'catholic': True, 'controversialWeapons': True, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
LEN,Lennar,"{'maxAge': 86400, 'totalEsg': {'raw': 23.11, 'fmt': '23.1'}, 'environmentScore': {'raw': 8.89, 'fmt': '8.9'}, 'socialScore': {'raw': 8.77, 'fmt': '8.8'}, 'governanceScore': {'raw': 5.47, 'fmt': '5.5'}, 'ratingYear': 2023, 'ratingMonth': 1, 'highestControversy': 2.0, 'peerCount': 9, 'esgPerformance': 'AVG_PERF', 'peerGroup': 'Homebuilders', 'relatedControversy': ['Operations Incidents', 'Employee Incidents', 'Customer Incidents', 'Business Ethics Incidents'], 'peerEsgScorePerformance': {'min': 11.65, 'avg': 18.35666666666667, 'max': 23.11}, 'peerGovernancePerformance': {'min': 3.58, 'avg': 4.918888888888889, 'max': 5.74}, 'peerSocialPerformance': {'min': 3.81, 'avg': 6.296666666666667, 'max': 8.77}, 'peerEnvironmentPerformance': {'min': 4.25, 'avg': 7.146666666666666, 'max': 9.63}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.6666666666666667, 'max': 2.0}, 'percentile': {'raw': 37.34, 'fmt': '37'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
LNC,Lincoln Financial,"{'maxAge': 86400, 'totalEsg': {'raw': 17.87, 'fmt': '17.9'}, 'environmentScore': {'raw': 1.89, 'fmt': '1.9'}, 'socialScore': {'raw': 6.09, 'fmt': '6.1'}, 'governanceScore': {'raw': 9.89, 'fmt': '9.9'}, 'ratingYear': 2023, 'ratingMonth': 1, 'highestControversy': 2.0, 'peerCount': 72, 'esgPerformance': 'UNDER_PERF', 'peerGroup': 'Insurance', 'relatedControversy': ['Customer Incidents'], 'peerEsgScorePerformance': {'min': 10.69, 'avg': 21.8876388888889, 'max': 44.52}, 'peerGovernancePerformance': {'min': 6.03, 'avg': 10.791884057971016, 'max': 16.51}, 'peerSocialPerformance': {'min': 3.98, 'avg': 9.172318840579711, 'max': 13.75}, 'peerEnvironmentPerformance': {'min': 0.07, 'avg': 1.4947826086956528, 'max': 3.16}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.3611111111111112, 'max': 4.0}, 'percentile': {'raw': 18.72, 'fmt': '19'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
LIN,Linde plc,
LYV,Live Nation Entertainment,
